name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
ZHOU Yafei,CHN,1,6.78,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,7.554,True,7.045,True,6.777,True,6.781,,,2024-10-02_Seoul_Speed_Women_Final.csv
SALLSABILLAH Rajiah,INA,2,8.08,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,6.87,True,6.936,True,7.708,False,8.087,,,2024-10-02_Seoul_Speed_Women_Final.csv
WANG Shengyan,CHN,3,6.80,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,7.174,True,6.879,False,6.94,,,True,6.802,2024-10-02_Seoul_Speed_Women_Final.csv
DENG Lijuan,CHN,4,6.90,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,7.128,True,6.93,False,8.042,,,False,6.901,2024-10-02_Seoul_Speed_Women_Final.csv
JEONG Jimin,KOR,5,8.06 (6.78),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,7.092,False,8.068,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
ZHANG Shaoqin,CHN,6,7.04 (6.97),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,7.677,False,7.048,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
NURHIDAYAH Susan,INA,7,8.79 (7.39),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,7.459,False,8.791,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
ULZHABAYEVA Tamara,KAZ,8,7.46 (7.39),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,True,7.395,False,7.465,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
IQAMAH Nurul,INA,9,7.56 (7.25),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,7.566,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
VER KHADIJAH Alivany,INA,10,7.64 (7.38),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,7.642,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
CURCIO Sophia,USA,11,7.70 (7.48),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,7.706,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
HAYASHI Karin,JPN,12,FALL (7.57),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,FALL,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
LESTARI Puja,INA,13,7.60 (7.58),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,7.606,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
SUNG Hanareum,KOR,14,7.77 (7.58),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,7.779,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
KOYAMATSU Ren,JPN,15,7.88,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,7.888,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
HWANG Jimin,KOR,16,8.10 (7.97),IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Final,2024-10-02,/api/v1/category_rounds/9376/results,/api/v1/events/1361/result/6,False,8.105,,,,,,,,,2024-10-02_Seoul_Speed_Women_Final.csv
