name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Grossman Natalia,USA,1,4T4z 13 6,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,4,1,3,1,3,1,3,3,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
BERTONE Oriane,FRA,2,2T4z 5 4,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,4,1,X,1,X,1,1,1,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
Nakamura Mao,JPN,3,2T4z 5 6,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,X,2,2,1,X,2,3,1,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
Raboutou Brooke,USA,4,2T4z 5 11,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,X,6,1,1,X,3,4,1,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
Mackenzie Oceania,AUS,5,2T4z 8 5,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,3,1,X,1,X,1,5,2,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
MEIGNAN Naïlé,FRA,6,2T4z 8 8,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,5,2,X,1,X,2,3,3,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
Dörffel Lucia,GER,7,1T4z 2 4,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,X,1,X,1,X,1,2,1,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
Sanders Anastasia,USA,8,1T4z 2 5,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,X,1,X,1,X,2,2,1,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
Cullen Kylie,USA,9,1T4z 2 10,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,X,2,X,2,X,4,2,2,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
Matsufuji Anon,JPN,10,1T4z 5 5,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7,X,1,X,2,X,1,5,1,2024-05-03_Salt Lake CIty_Boulder_Women_Semi-final.csv
