name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
ANRAKU Sorato,JPN,1.0,4T5z 11 14,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,1,1,7,7,1,1,2,2,X,3,2024-09-20_Prague_Boulder_Men_Qualification.csv
AVEZOU Sam,FRA,1.0,4T5z 8 7,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,1,1,3,1,2,1,2,2,X,2,2024-09-20_Prague_Boulder_Men_Qualification.csv
ROBERTS Toby,GBR,3.0,4T4z 7 5,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,1,1,2,2,1,1,3,1,X,X,2024-09-20_Prague_Boulder_Men_Qualification.csv
KAYOTANI Ritsu,JPN,3.0,3T5z 5 6,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,1,1,3,1,X,1,1,1,X,2,2024-09-20_Prague_Boulder_Men_Qualification.csv
NARASAKI Tomoa,JPN,5.0,3T5z 8 6,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,X,2,2,1,X,1,1,1,5,1,2024-09-20_Prague_Boulder_Men_Qualification.csv
ONDRA Adam,CZE,5.0,4T4z 7 6,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,1,1,1,1,4,3,1,1,X,X,2024-09-20_Prague_Boulder_Men_Qualification.csv
CHON Jongwon,KOR,7.0,4T4z 9 8,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,1,1,4,4,1,1,3,2,X,X,2024-09-20_Prague_Boulder_Men_Qualification.csv
UZNIK Nicolai,AUT,7.0,3T4z 10 9,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,X,1,6,5,2,1,2,2,X,X,2024-09-20_Prague_Boulder_Men_Qualification.csv
MILNE Maximillian,GBR,9.0,4T4z 9 9,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,1,1,5,5,2,2,1,1,X,X,2024-09-20_Prague_Boulder_Men_Qualification.csv
Shahar Adam,USA,9.0,3T4z 10 10,IFSC World Cup Prague 2024,1360,2024,Prague,Boulder,Men,Qualification,2024-09-20,/api/v1/category_rounds/8528/results,/api/v1/events/1360/result/3,X,1,3,2,1,1,X,X,6,6,2024-09-20_Prague_Boulder_Men_Qualification.csv
