name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Peharc Anze,SLO,9,1T3z 1 6,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,1,1,X,X,X,2,X,3,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
Duffy Colin,USA,12,1T3z 1 8,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,1,1,X,X,X,2,X,5,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
LEE Dohyun,KOR,13,1T3z 2 4,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,2,2,X,1,X,1,X,X,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
Uznik Nicolai,AUT,14,1T3z 5 10,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,5,5,X,X,X,3,X,2,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
Mawem Mickael,FRA,15,1T2z 2 3,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,2,1,X,X,X,2,X,X,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
KAYOTANI Ritsu,JPN,16,0T3z 0 7,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,X,3,X,X,X,1,X,3,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
Fujiwaki Yuji,JPN,17,0T3z 0 13,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,X,5,X,X,X,6,X,2,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
YOSHIDA Satone,JPN,18,0T2z 0 4,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,X,3,X,X,X,X,X,1,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
Akhtar Dayan,GBR,19,0T1z 0 5,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,X,5,X,X,X,X,X,X,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
Levin Ram,ISR,20,0T0z 0 0,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3,X,X,X,X,X,X,X,X,2024-04-08_Keqiao_Boulder_Men_Semi-final.csv
