name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
ANRAKU Sorato,JPN,1,2.74,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,TOP,TOP,2024-04-12_Wujiang_Lead_Men_Qualification.csv
Duffy Colin,USA,1,2.74,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,TOP,TOP,2024-04-12_Wujiang_Lead_Men_Qualification.csv
HOMMA Taisei,JPN,1,2.74,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,TOP,TOP,2024-04-12_Wujiang_Lead_Men_Qualification.csv
Roberts Toby,GBR,1,2.74,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,TOP,TOP,2024-04-12_Wujiang_Lead_Men_Qualification.csv
LEE Dohyun,KOR,5,5.48,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,28+,TOP,2024-04-12_Wujiang_Lead_Men_Qualification.csv
IMAIZUMI Yuta,JPN,6,6.89,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,32+,38+,2024-04-12_Wujiang_Lead_Men_Qualification.csv
Avezou Sam,FRA,7,9.75,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,28+,38+,2024-04-12_Wujiang_Lead_Men_Qualification.csv
Lehmann Sascha,SUI,7,9.75,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,28+,38+,2024-04-12_Wujiang_Lead_Men_Qualification.csv
MURASHITA Zento,JPN,7,9.75,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,28+,38+,2024-04-12_Wujiang_Lead_Men_Qualification.csv
OMATA Shion,JPN,7,9.75,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1,28+,38+,2024-04-12_Wujiang_Lead_Men_Qualification.csv
