name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Ogata Yoshiyuki,JPN,1,5T5z 8 6,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,3,1,1,1,1,1,2,2,1,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Schubert Jakob,AUT,1,3T5z 6 6,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,1,2,1,3,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,3,5T5z 11 8,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,4,1,2,2,1,1,3,3,1,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Narasaki Tomoa,JPN,3,3T5z 6 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,2,1,X,1,2,2,2,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Amagasa Sohta,JPN,3,3T5z 6 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,1,2,2,3,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Chon Jongwon,KOR,6,5T5z 17 12,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,5,1,3,2,2,2,6,6,1,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Harada Kai,JPN,7,4T5z 13 11,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,1,3,2,3,1,5,5,2,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Mawem Mickael,FRA,7,2T5z 3 5,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,1,X,1,X,1,2,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Sugimoto Rei,JPN,9,4T5z 18 17,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,4,3,6,4,1,1,7,7,X,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Uznik Nicolai,AUT,9,2T5z 4 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,1,X,2,3,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Hojer Jan,GER,11,2T5z 4 9,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,1,X,1,1,1,3,3,X,3,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Rubtsov Aleksey,RUS,11,3T5z 9 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,1,3,1,X,1,2,2,4,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Schalck Mejdi,FRA,13,2T5z 4 10,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,1,X,4,3,3,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Peharc Anze,SLO,13,3T5z 13 11,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,5,2,5,5,X,1,3,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Takata Tomoaki,JPN,15,3T5z 17 17,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,6,1,X,3,X,2,9,9,2,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Duffy Colin,USA,15,2T5z 5 8,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,1,X,2,4,2,X,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Flohé Yannick,GER,17,3T4z 8 11,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,2,1,X,X,X,4,4,4,2,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Lorenzi Simon,BEL,17,2T5z 6 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,2,2,X,1,X,1,4,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Coleman Nathaniel,USA,19,2T5z 2 10,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,4,X,2,1,1,X,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Megos Alexander,GER,19,2T5z 6 8,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,5,4,X,1,X,1,1,1,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Lovenjak Sudar Zan,SLO,21,2T4z 6 7,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,1,1,X,X,X,1,5,4,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Gullsten Anthony,FIN,21,2T5z 4 12,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,2,2,2,X,1,X,6,2,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Vezonik Gregor,SLO,23,2T5z 6 8,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,1,4,1,X,2,X,3,2,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Kotar Matic,SLO,23,2T4z 8 9,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,2,1,X,X,X,3,6,4,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Khazanov Alex,ISR,25,2T5z 7 18,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,1,X,9,X,1,6,6,1,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
YURIKUSA Ao,JPN,25,1T5z 2 11,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,3,X,3,X,2,2,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Gruzitis Edvards,LAT,27,1T5z 2 6,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,1,X,1,X,1,2,2,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Posch Jan-Luca,AUT,27,1T5z 3 10,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,3,3,X,1,X,1,X,3,X,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Fulkerson Ross,USA,29,1T5z 6 13,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,2,X,1,X,3,6,6,X,1,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Luzhetskii Sergei,RUS,29,1T5z 3 8,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,1,3,2,X,1,X,2,X,2,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
Piccolruaz Michael,ITA,31,1T4z 2 11,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1193,2021,Innsbruck,Boulder,Men,Qualification,2021-06-23,/api/v1/category_rounds/6182/results,/api/v1/events/1193/result/3,X,5,X,1,X,X,2,2,X,3,2021-06-23_Innsbruck_Boulder_Men_Qualification.csv
