event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Boulder,Men,Qualification,2011-04-14,/api/v1/category_rounds/1638/results,/api/v1/events/665/result/3
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Boulder,Men,Semi-Final,2011-04-14,/api/v1/category_rounds/1639/results,/api/v1/events/665/result/3
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Boulder,Men,Final,2011-04-14,/api/v1/category_rounds/1640/results,/api/v1/events/665/result/3
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Boulder,Women,Qualification,2011-04-14,/api/v1/category_rounds/1633/results,/api/v1/events/665/result/7
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Boulder,Women,Semi-Final,2011-04-14,/api/v1/category_rounds/1634/results,/api/v1/events/665/result/7
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Boulder,Women,Final,2011-04-14,/api/v1/category_rounds/1635/results,/api/v1/events/665/result/7
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Speed,Men,Qualification,2011-04-14,/api/v1/category_rounds/1641/results,/api/v1/events/665/result/2
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Speed,Men,Final,2011-04-14,/api/v1/category_rounds/1642/results,/api/v1/events/665/result/2
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Speed,Women,Qualification,2011-04-14,/api/v1/category_rounds/1636/results,/api/v1/events/665/result/6
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",665,2011,Milano,Speed,Women,Final,2011-04-14,/api/v1/category_rounds/1637/results,/api/v1/events/665/result/6
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,667,2011,Log-Dragomer,Boulder,Men,Qualification,2011-05-07,/api/v1/category_rounds/1646/results,/api/v1/events/667/result/3
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,667,2011,Log-Dragomer,Boulder,Men,Semi-Final,2011-05-07,/api/v1/category_rounds/1647/results,/api/v1/events/667/result/3
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,667,2011,Log-Dragomer,Boulder,Men,Final,2011-05-07,/api/v1/category_rounds/1648/results,/api/v1/events/667/result/3
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,667,2011,Log-Dragomer,Boulder,Women,Qualification,2011-05-07,/api/v1/category_rounds/1643/results,/api/v1/events/667/result/7
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,667,2011,Log-Dragomer,Boulder,Women,Semi-Final,2011-05-07,/api/v1/category_rounds/1644/results,/api/v1/events/667/result/7
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,667,2011,Log-Dragomer,Boulder,Women,Final,2011-05-07,/api/v1/category_rounds/1645/results,/api/v1/events/667/result/7
IFSC Climbing Worldcup (B) - Vienna (AUT) 2011 ,668,2011,Vienna,Boulder,Men,Qualification,2011-05-13,/api/v1/category_rounds/1652/results,/api/v1/events/668/result/3
IFSC Climbing Worldcup (B) - Vienna (AUT) 2011 ,668,2011,Vienna,Boulder,Men,Semi-Final,2011-05-13,/api/v1/category_rounds/1653/results,/api/v1/events/668/result/3
