event_name,event_id,year,location,discipline,gender,start_date,event_results
UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Lead,Men,1993-04-01,/api/v1/events/124/result/1
UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Lead,Women,1993-04-01,/api/v1/events/124/result/5
UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Men,1993-04-01,/api/v1/events/124/result/2
UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Women,1993-04-01,/api/v1/events/124/result/6
UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Lead,Men,1993-04-29,/api/v1/events/125/result/1
UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Lead,Women,1993-04-29,/api/v1/events/125/result/5
UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Men,1993-04-29,/api/v1/events/125/result/2
UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,1993-04-29,/api/v1/events/125/result/6
UIAA Worldcup - Zürich 1993,126,1993,Zürich,Lead,Men,1993-05-14,/api/v1/events/126/result/1
UIAA Worldcup - Zürich 1993,126,1993,Zürich,Lead,Women,1993-05-14,/api/v1/events/126/result/5
UIAA Worldcup - Toulon 1993,127,1993,Toulon,Lead,Men,1993-05-27,/api/v1/events/127/result/1
UIAA Worldcup - Toulon 1993,127,1993,Toulon,Lead,Women,1993-05-27,/api/v1/events/127/result/5
UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Men,1993-08-26,/api/v1/events/128/result/1
UIAA Worldcup - Black See 1993,128,1993,Black See,Lead,Women,1993-08-26,/api/v1/events/128/result/5
UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Men,1993-08-26,/api/v1/events/128/result/2
UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,1993-08-26,/api/v1/events/128/result/6
UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Men,1993-11-04,/api/v1/events/129/result/1
UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Lead,Women,1993-11-04,/api/v1/events/129/result/5
UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Men,1993-11-04,/api/v1/events/129/result/2
UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Women,1993-11-04,/api/v1/events/129/result/6
UIAA Worldcup - Laval 1993,130,1993,Laval,Lead,Men,1993-12-09,/api/v1/events/130/result/1
UIAA Worldcup - Laval 1993,130,1993,Laval,Lead,Women,1993-12-09,/api/v1/events/130/result/5
