name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
SEKIKAWA Melody,JPN,1,84.8,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,1,1,1,1,X,X,X,3,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
BERTONE Oriane,FRA,1,84.8,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,2,1,1,1,X,X,X,2,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
STASIUK Maya,AUS,1,84.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,2,2,3,1,X,X,X,2,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
NAKAMURA Mao,JPN,4,84.5,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,1,1,1,1,X,X,X,6,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
MACKENZIE Oceania,AUS,4,84.5,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,2,2,1,1,X,X,X,5,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
SANDERS Annie,USA,6,84.3,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,2,2,2,2,1,1,X,X,X,6,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
MCNEICE Erin,GBR,7,84.2,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,5,3,1,1,X,X,X,5,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
CALLIET Agathe,FRA,7,84.0,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,1,1,3,1,X,X,X,9,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
ZHANG Yuetong,CHN,7,84.0,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,6,3,1,1,X,X,X,6,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
CONDIE Kyra,USA,10,69.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,1,1,X,1,1,1,X,X,X,5,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv"
