name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
BRAND Paul,NED,41.0,34.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,3,3,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
NOH Hyunseung,KOR,43.0,34.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,5,1,X,4,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
UZNIK Timo,AUT,43.0,49.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,2,2,3,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
EVERETT Vail,USA,45.0,44.6,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,4,3,X,X,X,1,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
KIROV Slav,BUL,45.0,29.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,3,X,2,X,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
CHON Yejun,KOR,47.0,29.2,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,2,X,8,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
FARKAS Tamás,HUN,47.0,44.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,2,X,3,3,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
GRUZITIS Edvards,LAT,49.0,43.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,10,3,2,X,3,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
PEREIRA Bharath,IND,49.0,20.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
KURIC Peter,SVK,49.0,20.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
LAPORTE Corentin,BEL,52.0,38.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,7,X,1,X,1,X,6,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
ARRIAGADA KRÜGER Elias,GER,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,X,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
SARTIRANA Nicolò,ITA,53.0,34.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,2,2,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
INTRACHUPONGSE Ardch,THA,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,X,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
Salimian Ali,IRI,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,2,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
GUIGNARD Louis,SUI,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,2,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
MYRONENKO Mykyta,UKR,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,2,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
SANO Daiki,JPN,59.0,34.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,3,1,X,2,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
ENACHE Călin,ROU,60.0,34.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,5,4,X,2,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
MARTÍN ÁLVAREZ Hugo,ESP,61.0,34.4,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,6,2,1,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv"
