name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
KATIBIN Kiromal,INA,1,4.83,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,4.83,4.912,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
HAMMER Zach,USA,2,4.88,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,DNF,4.888,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
WATSON Samuel,USA,3,4.89,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,4.921,4.895,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
CHU Shouhong,CHN,4,4.90,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.009,4.909,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
LONG Jianguo,CHN,5,5.03,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.032,5.038,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
MAIMURATOV Amir,KAZ,6,5.04,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.168,5.049,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
CARMANNS Leander,GER,7,5.095,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.175,5.095,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
HOM Michael,USA,8,5.099,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.099,5.258,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
ALTYNBEKOV Beknur,KAZ,9,5.11,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.116,5.425,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
LI Xu,CHN,10,5.12,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.288,5.126,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
ZURLONI Matteo,ITA,11,5.15,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,5.156,DNF,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
OMASA Ryo,JPN,12,5.16,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Men,Qualification,2025-05-31,/api/v1/category_rounds/9742/results,/api/v1/events/1455/result/2,DNF,5.165,"2025-05-31_Denver, USA_Speed_Men_Qualification.csv"
