name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
ANRAKU Sorato,JPN,1,124.4,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,3,1,2,1,2,1,3,1,1,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
LEE Dohyun,KOR,1,109.3,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,3,1,1,2,2,4,4,2,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
SCHALCK Mejdi,FRA,3,99.6,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,3,3,2,1,1,1,2,2,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
VAN DUYSEN Hannes,BEL,3,93.9,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,1,1,8,4,1,1,X,3,X,3,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
AMAGASA Sohta,JPN,5,93.8,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,6,4,2,1,1,5,2,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
CHON Jongwon,KOR,5,94.9,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,2,1,1,1,1,X,1,1,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
PEHARC Anze,SLO,7,84.7,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,1,1,2,1,3,1,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
PAN Yufei,CHN,7,94.1,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,2,2,5,3,2,2,X,4,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
AKHTAR Dayan,GBR,9,84.9,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,1,1,1,1,X,2,1,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
FLOHÉ Yannick,GER,9,84.5,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,5,2,1,1,X,2,1,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
NARASAKI Tomoa,JPN,11,84.6,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,3,2,1,1,3,2,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
BRAND Paul,NED,11,84.2,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,4,2,2,2,5,3,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
POSCH Jan-Luca,AUT,13,84.3,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,1,1,2,2,7,1,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
RUSEV Nikolay,BUL,13,84.1,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,3,3,3,3,5,2,X,2,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
DUFFY Colin,USA,15,84.0,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,5,3,1,1,7,4,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
PRIHED Oren,ISR,15,69.8,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,1,1,2,1,X,1,X,2,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
BLOEM Thorben Perry,GER,17,69.7,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,3,3,2,1,X,1,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
PEINADO FRANGANILLO Guillermo,ESP,17,83.8,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,6,2,1,1,6,4,X,3,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
WIMMER Julian,AUT,19,79.1,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,4,4,2,1,1,X,4,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
SUGIMOTO Yusuke,JPN,19,69.4,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,4,4,1,1,X,4,X,1,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
CORNU Manuel,FRA,21,69.3,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,4,4,1,1,X,3,X,3,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
VON FREIER Lasse,GER,21,74.3,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,3,3,4,3,3,3,X,X,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
STRAUBHAAR Levin,SUI,21,69.3,IFSC World Cup Bern 2025,1411,2025,"Bern, SUI",Boulder,Men,Qualification,2025-06-13,/api/v1/category_rounds/9397/results,/api/v1/events/1411/result/3,X,X,5,3,3,3,X,1,X,2,"2025-06-13_Bern, SUI_Boulder_Men_Qualification.csv"
