name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
BERTONE Oriane,FRA,1,84.7,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,1,1,2,1,3,3,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
MACKENZIE Oceania,AUS,2,69.5,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,2,3,1,3,1,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
SANDERS Annie,USA,3,69.3,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,1,1,1,1,X,5,X,4,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
SEKIKAWA Melody,JPN,3,69.3,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,3,X,3,2,2,3,3,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
NONAKA Miho,JPN,5,54.7,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,1,1,X,2,X,3,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
NAKAMURA Mao,JPN,6,45.0,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,1,X,X,1,1,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
MCNEICE Erin,GBR,7,44.9,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,2,1,X,1,X,X,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
SEO Chaehyun,KOR,8,39.4,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,2,X,2,X,5,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
KUZUU Mashiro,JPN,9,34.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,5,5,X,X,X,X,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
BUCKLEY Jennifer Eucharia,SLO,10,29.9,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,1,X,2,X,X,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
APEL Anna Maria,GER,11,29.8,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,1,X,3,X,X,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv"
